title,description,personas,category,text_cleaned_lemmatized,image_url,text_cleaned,website
Old Town School of Folk Music,"With famed former students like Steve Goodman, Bonnie Koloc, and the Byrdsâ Roger McGuinn, you know a visit to the  is going to be something special. Bring your own instrument or sing along during a free music jam at this legendary school and performance venue.  also offers classes and ticketed special events. 4544 N. Lincoln Ave.",budget,free hidden gems,,with famed former students like steve goodman bonnie koloc and the byrds roger mcguinn you know a visit to the is going to be something special bring your own instrument or sing along during a free music jam at this legendary school and performance venue also offers classes and ticketed special events  n lincoln ave ,famed former student like steve goodman bonnie koloc byrd roger mcguinn know visit going something special bring instrument sing along free music jam legendary school performance venue also offer class ticketed special event n lincoln ave,choosechicago
Garden of the Phoenix,"The Japanese government built the Ho-o-den (Phoenix Temple) as its pavilion for the 1893 Worldâs Fair on the Wooded Island in  in the Hyde Park neighborhood. While the pavilion is no longer there, you can still visit this important site where youâll find SKYLANDING â Yoko Onoâs first permanent art installation in North America. Explore the haven of blossoming cherry trees in the spring and enjoy koi ponds, waterfalls, bridges, authentic Japanese horticulture with complete serenity. The garden, known both as Garden of the Phoenix and Osaka Garden, is a true hidden gem, and well worth a visit. Â S. Cornel Dr.",budget,free hidden gems,https://cdn.choosechicago.com/uploads/2019/05/CC_Osaka_Garden_1_114f4c49-169f-4ca6-8e4e-44f7d953a6cb-750x493.jpg,the japanese government built the ho o den phoenix temple as its pavilion for the  world s fair on the wooded island in in the hyde park neighborhood while the pavilion is no longer there you can still visit this important site where you ll find skylanding yoko ono s first permanent art installation in north america explore the haven of blossoming cherry trees in the spring and enjoy koi ponds waterfalls bridges authentic japanese horticulture with complete serenity the garden known both as garden of the phoenix and osaka garden is a true hidden gem and well worth a visit s cornel dr ,japanese government built ho den phoenix temple pavilion world fair wooded island hyde park neighborhood pavilion longer still visit important site find skylanding yoko ono first permanent art installation north america explore blossoming cherry tree spring enjoy koi pond waterfall bridge authentic japanese horticulture complete serenity garden known garden phoenix osaka garden true hidden gem well worth visit cornel dr,choosechicago
Chicago Gospel Music Festival,"Celebrating the genreâs deep Chicago roots with traditional choirs and contemporary urban gospel music, the  kicks off the summer festival season on an exuberant note. The line-up features local and national artists in performances in downtown Millennium Park.",budget,summer music festival,https://cdn.choosechicago.com/uploads/2019/06/AM_ChooseChicago_ChicagoGospelMusicFest2016_26__0d33881e-d2cb-457f-bf1c-510bca2d8649.jpg,celebrating the genre s deep chicago roots with traditional choirs and contemporary urban gospel music the kicks off the summer festival season on an exuberant note the line up features local and national artists in performances in downtown millennium park ,celebrating genre deep chicago root traditional choir contemporary urban gospel music kick summer festival season exuberant note line feature local national artist performance downtown millennium park,choosechicago
Chicago Blues Festival,"The  in Millennium Park is the largest free blues festival in the world. Over four days each June, more than 500,000 blues fans and a lineup of renowned musicians prove that Chicago is indeed the âBlues Capital of the World.â Past performers include Bonnie Raitt, Ray Charles, B.B. King, the late Bo Diddley, Buddy Guy, and the late Koko Taylor.",budget,summer music festival,https://cdn.choosechicago.com/uploads/2019/06/budget-festivals-900x506.jpg,the in millennium park is the largest free blues festival in the world over four days each june more than   blues fans and a lineup of renowned musicians prove that chicago is indeed the âblues capital of the world past performers include bonnie raitt ray charles b b king the late bo diddley buddy guy and the late koko taylor ,millennium park largest free blue festival world four day june blue fan lineup renowned musician prove chicago indeed â blue capital world past performer include bonnie raitt ray charles b b king late bo diddley buddy guy late koko taylor,choosechicago
Grant Park Music Festival,"Head to the Jay Pritzker Pavilion in Millennium Park for the nationâs only free, outdoor classical music series of its kind â the . The Grammy-nominated Grant Park Orchestra, along with the 100-plus-member Grant Park Chorus and special guest performers and conductors, bring the sounds of Mozart, Beethoven, Tchaikovsky, and more to Millennium Park all summer long. Spread out on the Great Lawn and enjoy.",budget,summer music festival,https://cdn.choosechicago.com/uploads/2019/06/Carlos_Kalmar_Conducting_cr_Patrick_Pyszka_974663c5-80f6-4dcb-8203-668aad79980d-1-750x445.jpg,head to the jay pritzker pavilion in millennium park for the nation s only free outdoor classical music series of its kind the the grammy nominated grant park orchestra along with the  plus member grant park chorus and special guest performers and conductors bring the sounds of mozart beethoven tchaikovsky and more to millennium park all summer long spread out on the great lawn and enjoy ,head jay pritzker pavilion millennium park nation free outdoor classical music series kind grammy nominated grant park orchestra along plus member grant park chorus special guest performer conductor bring sound mozart beethoven tchaikovsky millennium park summer long spread great lawn enjoy,choosechicago
Chicago House Music Festival and Conference,"The  showcases the various sounds and styles of house music, a Chicago-born genre that has revolutionized dance music internationally. The event brings in nationally recognized artists and homegrown talent, such as Mr. A.L.I., Reel People, Tony Humphries, Gene Hunt, Mark Grusane, and First Lady, plus industry leaders for panels and discussions.",budget,summer music festival,https://cdn.choosechicago.com/uploads/2020/01/file6-1-900x599.jpeg,the showcases the various sounds and styles of house music a chicago born genre that has revolutionized dance music internationally the event brings in nationally recognized artists and homegrown talent such as mr a l i reel people tony humphries gene hunt mark grusane and first lady plus industry leaders for panels and discussions ,showcase various sound style house music chicago born genre revolutionized dance music internationally event brings nationally recognized artist homegrown talent mr l reel people tony humphries gene hunt mark grusane first lady plus industry leader panel discussion,choosechicago
Chicago Jazz Festival,"The longest-running of the cityâs lakefront music festivals, the  brings live jazz music to Millennium Park. Known for its artistic creativity, the Labor Day weekend festival promotes awareness and appreciation for all forms of jazz through free live musical performances at two stunning downtown venues: the Chicago Cultural Center and Millennium Park.",budget,summer music festival,https://cdn.choosechicago.com/uploads/2019/06/AA_ChicagoJazzFest_MilPark_12-2-900x600.jpg,the longest running of the city s lakefront music festivals the brings live jazz music to millennium park known for its artistic creativity the labor day weekend festival promotes awareness and appreciation for all forms of jazz through free live musical performances at two stunning downtown venues the chicago cultural center and millennium park ,longest running city lakefront music festival brings live jazz music millennium park known artistic creativity labor day weekend festival promotes awareness appreciation form jazz free live musical performance two stunning downtown venue chicago cultural center millennium park,choosechicago
World Music Festival Chicago,"The annual  in September brings live music from all over the globe to Chicago for this popular multi-day festival. The city-wide, multi-venue celebration features over 30 artists from 22 countries at venues around Chicago including the Chicago Cultural Center and city parks.",budget,summer music festival,https://cdn.choosechicago.com/uploads/2019/05/DCASE_WorldMusicFest4_38e947bc-7254-4b7f-bff2-cd9e5a159c60-750x500.jpg,the annual in september brings live music from all over the globe to chicago for this popular multi day festival the city wide multi venue celebration features over  artists from  countries at venues around chicago including the chicago cultural center and city parks ,annual september brings live music globe chicago popular multi day festival city wide multi venue celebration feature artist country venue around chicago including chicago cultural center city park,choosechicago
Chicago Cultural Center,"This historic landmark hosts hundreds of free programs year-round. Take a free building tour to see the worldÃ¢ÂÂs largest glass Tiffany done, check out the schedule of free events and exhibits, catch one of the weekly classical music concerts to blues, jazz and more. Also check out the daily  schedule for free dance performances, film screenings, seminars, and theatrical events.ÃÂ 77 E. Randolph St., Loop",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/8add71f9_9052_45a9_aeb5_694731edd746_52bed905-6baa-4b77-ad49-fec9e2154e62-1.jpg,this historic landmark hosts hundreds of free programs year round take a free building tour to see the world s largest glass tiffany done check out the schedule of free events and exhibits catch one of the weekly classical music concerts to blues jazz and more also check out the daily schedule for free dance performances film screenings seminars and theatrical events  e randolph st loop,historic landmark host hundred free program year round take free building tour see world largest glass tiffany done check schedule free event exhibit catch one weekly classical music concert blue jazz also check daily schedule free dance performance film screening seminar theatrical event e randolph st loop,choosechicago
Chicago Greeter,"The  program pairs knowledgeable (and friendly!) locals with Chicago visitors for an informal, insiderÃ¢ÂÂs orientation of the city and its many vibrant neighborhoods. Through customized, guided walks you can sightsee all across the city based on your particular interest areas, from public art and architecture to food and films.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/AA_ChicagoGreeterChinaTown2_ef9a62d5-6099-481b-9e61-274bdfc23e25.jpg,the program pairs knowledgeable and friendly locals with chicago visitors for an informal insider s orientation of the city and its many vibrant neighborhoods through customized guided walks you can sightsee all across the city based on your particular interest areas from public art and architecture to food and films ,program pair knowledgeable friendly local chicago visitor informal insider orientation city many vibrant neighborhood customized guided walk sightsee across city based particular interest area public art architecture food film,choosechicago
Lakefront Trail,"Hit the scenic  to run, walk, bike or rollerblade with the blue waters of Lake Michigan to one side and gorgeous, green parks to the other. Along the trail, youÃ¢ÂÂll find beaches, gardens, public art, playgrounds, tennis courts, and more. 5800 N. Sheridan Rd. to 7100 S. South Shore Drive",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/AA_SpringLincolnPark_22_0a447a4a-bfdc-4c05-89c4-52097712429f.jpg,hit the scenic to run walk bike or rollerblade with the blue waters of lake michigan to one side and gorgeous green parks to the other along the trail you ll find beaches gardens public art playgrounds tennis courts and more  n sheridan rd to  s south shore drive,hit scenic run walk bike rollerblade blue water lake michigan one side gorgeous green park along trail find beach garden public art playground tennis court n sheridan rd south shore drive,choosechicago
Chicago Riverwalk,"Walk along the award-winning , a scenic waterfront promenade that stretches through the heart of the city. Watch a bridge lift from inside the bridge house with a visit the McCormick Bridgehouse & Chicago River Museum(free on Sundays) and take in the world-famous architecture that lines the Chicago River. East Upper Wacker Drive from Lake Street to Jean Baptiste Point du Sable Lake Shore Drive",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/RP_RIVERWALK_182_0d710a55-b261-438b-b32e-10b96b093bb3.jpg,walk along the award winning a scenic waterfront promenade that stretches through the heart of the city watch a bridge lift from inside the bridge house with a visit the mccormick bridgehouse chicago river museum free on sundays and take in the world famous architecture that lines the chicago river east upper wacker drive from lake street to jean baptiste point du sable lake shore drive,walk along award winning scenic waterfront promenade stretch heart city watch bridge lift inside bridge house visit mccormick bridgehouse chicago river museum free sunday take world famous architecture line chicago river east upper wacker drive lake street jean baptiste point du sable lake shore drive,choosechicago
art gallery,"This treasured landmark on The Magnificent Mile has been transformed into a free  for rotating exhibits featuring local photographers and artists. Constructed between 1867 and 1869, the Water Tower was one of the few buildings to survive the Great Chicago Fire of 1871. 806 N. Michigan Ave.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/AA_Fall_WaterTower02_4baf9d23-17fd-4081-9262-79345feb96f4.jpg,this treasured landmark on the magnificent mile has been transformed into a free for rotating exhibits featuring local photographers and artists constructed between  and  the water tower was one of the few buildings to survive the great chicago fire of   n michigan ave ,treasured landmark magnificent mile transformed free rotating exhibit featuring local photographer artist constructed water tower one building survive great chicago fire n michigan ave,choosechicago
Clarke House Museum,"Located in the gorgeous Prairie Avenue Historic District, the  is ChicagoÃ¢ÂÂs oldest house, constructed for Henry B. Clarke in 1836. See what life was like for a family in Chicago during the cityÃ¢ÂÂs early years, when much of the area was still undeveloped prairie. 1827 S. Indiana Ave.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/Henry_B_Clarke_House_379dee0a-5ebc-440c-84a8-a89c5669df3d.jpg,located in the gorgeous prairie avenue historic district the is chicago s oldest house constructed for henry b clarke in  see what life was like for a family in chicago during the city s early years when much of the area was still undeveloped prairie  s indiana ave ,located gorgeous prairie avenue historic district chicago oldest house constructed henry b clarke see life like family chicago city early year much area still undeveloped prairie indiana ave,choosechicago
Ed Paschke Art Center,The mission of the  is to preserve and provide public access to the work of the legendary Chicago artist Ed Paschke and be a platform for artists to showcase their work. 5415 W. Higgins Ave.,budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/EPAC_inside_35e2a1f7-6ed9-402d-97fb-20064aa25ea7.jpg,the mission of the is to preserve and provide public access to the work of the legendary chicago artist ed paschke and be a platform for artists to showcase their work  w higgins ave ,mission preserve provide public access work legendary chicago artist ed paschke platform artist showcase work w higgins ave,choosechicago
Garfield Park Conservatory,Explore exotic gardens under glass at the . The stunning space has a half dozen greenhouses of rare and native species. 300 N. Central Park Ave.,budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/AA_EPIC_GarfieldParkCons_12_f4113589-6df3-438b-b593-8e757c451e8c-750x445.jpg,explore exotic gardens under glass at the the stunning space has a half dozen greenhouses of rare and native species  n central park ave ,explore exotic garden glass stunning space half dozen greenhouse rare native specie n central park ave,choosechicago
one of the largest public libraries in the world,"This is , filling a whole city block and housing more than 13-million published works. Check out the sun-filled Winter Garden and explore the art collection that features over 50 local and internationally known artists displayed throughout the halls and reading rooms. 400 S. State St.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/Harold_Washington_Library_Center_winter_garden_045d264a-532d-434a-b483-70aca4cc49a7.jpg,this is filling a whole city block and housing more than  million published works check out the sun filled winter garden and explore the art collection that features over  local and internationally known artists displayed throughout the halls and reading rooms  s state st ,filling whole city block housing million published work check sun filled winter garden explore art collection feature local internationally known artist displayed throughout hall reading room state st,choosechicago
Hyde Park Art Center,"If youÃ¢ÂÂre looking for open-to-the-public gallery talks, poetry readings, musical performances, and art classes,  offers free cultural exhibitions for visitors of all ages. 5020 S. Cornell Ave.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/HydePark_5_20_13_03_952abfa6-8344-4183-a449-779b5a2fc990.jpg,if you re looking for open to the public gallery talks poetry readings musical performances and art classes offers free cultural exhibitions for visitors of all ages  s cornell ave ,looking open public gallery talk poetry reading musical performance art class offer free cultural exhibition visitor age cornell ave,choosechicago
Intuit,"Established in 1991,  is dedicated to presenting outsider art that falls outside the mainstream. It offers world-class exhibitions, a Permanent Collection with holdings of nearly 1,100 works of art, and educational programming for people of all interest levels and backgrounds. 756 N. Milwaukee Ave.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/Intuit_Main_Gallery_1_Photo_by_Cheri_Eisenberg_552fa782-957f-4424-b691-ad9830009b0e.jpg,established in  is dedicated to presenting outsider art that falls outside the mainstream it offers world class exhibitions a permanent collection with holdings of nearly   works of art and educational programming for people of all interest levels and backgrounds  n milwaukee ave ,established dedicated presenting outsider art fall outside mainstream offer world class exhibition permanent collection holding nearly work art educational programming people interest level background n milwaukee ave,choosechicago
Jane Addams Hull-House ,"This settlement house was founded by Jane Addams, the first women to win a Noble Prize. Today, is a free museum is dedicated to providing free exhibits and programs that focus on policy efforts and underserved communities. 800 S. Halsted St.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/jane_addams_hull_house_museum_68d980d0-8f5b-498d-a9b4-0f49224a41ee.jpg,this settlement house was founded by jane addams the first women to win a noble prize today is a free museum is dedicated to providing free exhibits and programs that focus on policy efforts and underserved communities  s halsted st ,settlement house founded jane addams first woman win noble prize today free museum dedicated providing free exhibit program focus policy effort underserved community halsted st,choosechicago
conservatory,"Located in stunning Lincoln Park, this  displays stunning tropical flowers and foliage. No matter the season, this historic greenhouse feels like an exotic getaway. 2391 N. Stockton Drive",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/conservatory1_e1448388899188_b2e2dcac-deb5-4170-be79-d15c3046e44d.jpg,located in stunning lincoln park this displays stunning tropical flowers and foliage no matter the season this historic greenhouse feels like an exotic getaway  n stockton drive,located stunning lincoln park display stunning tropical flower foliage matter season historic greenhouse feel like exotic getaway n stockton drive,choosechicago
 Lincoln Park Zoo,"One of the only free zoos in the country, is home to over 230 species of animals, including primates, reptiles, mammals, birds, and more. The zoo sits in the lushly landscaped Lincoln Park, which is also free and fun to explore. 2200 N. Cannon Drive",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/1ede8f2d_8041_468f_9792_f96c16bda047_01c2d762-be84-4183-ba9f-5827e9f5580f.jpg,one of the only free zoos in the country is home to over  species of animals including primates reptiles mammals birds and more the zoo sits in the lushly landscaped lincoln park which is also free and fun to explore  n cannon drive,one free zoo country home specie animal including primate reptile mammal bird zoo sits lushly landscaped lincoln park also free fun explore n cannon drive,choosechicago
Maggie Daley Park,"Located just east of Millennium Park,  is a sprawling play space inspired by classic childrenÃ¢ÂÂs tale, like Alice in Wonderland and Charlie and the Chocolate Factory. Kids of all ages will love the mini lighthouse, a life-sized ship, two climbing walls, 30-foot suspension bridge, skating ribbon, tennis courts, and several picnic groves. 337 E. Randolph St.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/AbA_maggie_daley_park_31__d0efa657-1641-4966-b742-4cc25eb2ac88.jpg,located just east of millennium park is a sprawling play space inspired by classic children s tale like alice in wonderland and charlie and the chocolate factory kids of all ages will love the mini lighthouse a life sized ship two climbing walls  foot suspension bridge skating ribbon tennis courts and several picnic groves  e randolph st ,located east millennium park sprawling play space inspired classic child tale like alice wonderland charlie chocolate factory kid age love mini lighthouse life sized ship two climbing wall foot suspension bridge skating ribbon tennis court several picnic grove e randolph st,choosechicago
Millennium Park,"One of the stateÃ¢ÂÂs most popular tourist attractions,  features iconic public art (like Cloud Gate, aka Ã¢ÂÂThe BeanÃ¢ÂÂ), a soaring performance space where you can catch free movies and concerts (the Frank Gehry-designed Jay Pritzker Pavilion), and the tranquil Lurie Garden. 201 E. Randolph St.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/64f991cc_d659_4578_b405_0bd85c93de38_e3254e19-be34-48ef-a2a6-937d98fe6a5f.jpg,one of the state s most popular tourist attractions features iconic public art like cloud gate aka Ã¢ÂÂthe bean a soaring performance space where you can catch free movies and concerts the frank gehry designed jay pritzker pavilion and the tranquil lurie garden  e randolph st ,one state popular tourist attraction feature iconic public art like cloud gate aka Ã¢ÂÂ bean soaring performance space catch free movie concert frank gehry designed jay pritzker pavilion tranquil lurie garden e randolph st,choosechicago
Museum Of Contemporary Photography,"Columbia CollegeÃ¢ÂÂs  is one of the only museums in the region devoted exclusively to photography. This cultural center aims to communicate the value of still images, artistic expression, and human thought. 600 S. Michigan Ave.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/the_museum_of_contemporary_photography_chicago_5c6a60ce-0026-4cfe-836b-bb9fb9c28fc7-657x750.jpg,columbia college s is one of the only museums in the region devoted exclusively to photography this cultural center aims to communicate the value of still images artistic expression and human thought  s michigan ave ,columbia college one museum region devoted exclusively photography cultural center aim communicate value still image artistic expression human thought michigan ave,choosechicago
National Museum Of Puerto Rican Arts & Culture,"The celebrates the culture of Puerto Rico features visual art exhibitions, hands-on community arts workshops, films in the park, and an annual outdoor fine arts and crafts festival.ÃÂ  3015 W. Division St.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/HumboldtPark_5_14_13_14_aa2f182f-2292-480f-8d96-b54047304392.jpg,the celebrates the culture of puerto rico features visual art exhibitions hands on community arts workshops films in the park and an annual outdoor fine arts and crafts festival  w division st ,celebrates culture puerto rico feature visual art exhibition hand community art workshop film park annual outdoor fine art craft festival w division st,choosechicago
National Veterans Art Museum ,"The features work by veterans from all conflicts, with the mission of collecting, preserving, and exhibiting art inspired by combat and created by those who have endured it. 4041 N. Milwaukee Ave., 2nd Floor",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/NVAM_Choose_Chicago_Photo_2_ed5bc8de-708b-4537-a238-955ab1b6f03b.jpg,the features work by veterans from all conflicts with the mission of collecting preserving and exhibiting art inspired by combat and created by those who have endured it  n milwaukee ave nd floor,feature work veteran conflict mission collecting preserving exhibiting art inspired combat created endured n milwaukee ave nd floor,choosechicago
National Museum Of Mexican Art,"Located in the heart of the colorful Pilsen neighborhood, the  celebrates all facets of Mexican culture. In fact, itÃ¢ÂÂs the largest museum of its kind in the nation. 1852 W. 19th St.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/f2c16cb4_1c90_4c79_951c_e1a24d368a8a_fec70d76-b113-4a2a-9f68-db9351a37e39.jpg,located in the heart of the colorful pilsen neighborhood the celebrates all facets of mexican culture in fact it s the largest museum of its kind in the nation  w th st ,located heart colorful pilsen neighborhood celebrates facet mexican culture fact largest museum kind nation w th st,choosechicago
Navy PierÃÂ ,"One of the most popular tourist attractions in the country, is located on ChicagoÃ¢ÂÂs scenic lakefront. YouÃ¢ÂÂll find boat cruises, rides (including the cityÃ¢ÂÂs signature Ferris wheel), the Chicago Shakespeare Theatre, live music, fireworks, the countryÃ¢ÂÂs largest rooftop bar, and more. 600 E. Grand Ave.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/NAVY_PIER_10_e5afeada-805e-4492-8a6c-db1d652bfb1d.jpg,one of the most popular tourist attractions in the country is located on chicago s scenic lakefront you ll find boat cruises rides including the city s signature ferris wheel the chicago shakespeare theatre live music fireworks the country s largest rooftop bar and more  e grand ave ,one popular tourist attraction country located chicago scenic lakefront find boat cruise ride including city signature ferris wheel chicago shakespeare theatre live music firework country largest rooftop bar e grand ave,choosechicago
free public parks,"Chicago boasts hundreds of  that cover over 8,000 acres of the city. Many feature wildlife havens like Northerly Island and North Pond Nature Sanctuary; incredible landscape designs such as Alfred Caldwell Lily Pool and Humboldt ParkÃ¢ÂÂs prairie river and boathouse; and athletic facilities such as the kayak boathouse in Ping Tom Memorial Park. You can also spend the day at one of the free public beaches, open Memorial Day to Labor Day. Various locations",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/AA_RogersPark_Spring_09_a70eb346-53e4-4cd0-974e-26cc6159c7e5.jpg,chicago boasts hundreds of that cover over   acres of the city many feature wildlife havens like northerly island and north pond nature sanctuary incredible landscape designs such as alfred caldwell lily pool and humboldt parkÃ¢ÂÂs prairie river and boathouse and athletic facilities such as the kayak boathouse in ping tom memorial park you can also spend the day at one of the free public beaches open memorial day to labor day various locations,chicago boast hundred cover acre city many feature wildlife haven like northerly island north pond nature sanctuary incredible landscape design alfred caldwell lily pool humboldt park Ã¢ÂÂ prairie river boathouse athletic facility kayak boathouse ping tom memorial park also spend day one free public beach open memorial day labor day various location,choosechicago
Poetry Foundation,"Get lost in the first space in Chicago dedicated solely to the art of poetry. The  houses a public garden, a 30,000-volume library, an exhibition gallery, and an extensive roster of weekly public programs and events. 61 W. Superior St.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/garden_750bf7ed-f52a-4e85-9e67-bd9db069a1cb.jpg,get lost in the first space in chicago dedicated solely to the art of poetry the houses a public garden a   volume library an exhibition gallery and an extensive roster of weekly public programs and events  w superior st ,get lost first space chicago dedicated solely art poetry house public garden volume library exhibition gallery extensive roster weekly public program event w superior st,choosechicago
elevated park trail,"Trek this stunning 2.7 mile  that crosses over neighborhoods. Built atop an abandoned rail line, itÃ¢ÂÂs a popular spot for walking, biking, and jogging. ThereÃ¢ÂÂs also ample green space, it boasts scenic lookout points, public art murals, and an outdoor observatory. Bloomingdale Avenue From Ashland To Ridgeway",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/606_93_9afa3f72-f74a-4b12-9a93-f45228fde467-1.jpg,trek this stunning   mile that crosses over neighborhoods built atop an abandoned rail line it s a popular spot for walking biking and jogging there s also ample green space it boasts scenic lookout points public art murals and an outdoor observatory bloomingdale avenue from ashland to ridgeway,trek stunning mile cross neighborhood built atop abandoned rail line popular spot walking biking jogging also ample green space boast scenic lookout point public art mural outdoor observatory bloomingdale avenue ashland ridgeway,choosechicago
Newberry Library,"The stunning  contains more than 1.5 million published works, including rare books, maps, music, manuscripts, and often features special exhibitions.ÃÂ 60 W. Walton St.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/image0210_b3dd709c-411a-42eb-9f85-923231b34f83.jpg,the stunning contains more than   million published works including rare books maps music manuscripts and often features special exhibitions  w walton st ,stunning contains million published work including rare book map music manuscript often feature special exhibition w walton st,choosechicago
The Institute for the Study of Ancient Cultures,"Focusing on the rich history of the ancient Near East, this museum displays artifacts recovered during  excavations. See precious and rare items from ancient Egypt, Nubia, Persia, Mesopotamia, Syria, Anatolia, and the ancient site of Megiddo. 1155 E. 59th St.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/image016_52713bfc-310b-4dfc-a961-e211a35ae130.jpg,focusing on the rich history of the ancient near east this museum displays artifacts recovered during excavations see precious and rare items from ancient egypt nubia persia mesopotamia syria anatolia and the ancient site of megiddo  e th st ,focusing rich history ancient near east museum display artifact recovered excavation see precious rare item ancient egypt nubia persia mesopotamia syria anatolia ancient site megiddo e th st,choosechicago
Renaissance Society,The  offers exhibitions and programs that provide insight into and education on the wonders of art history. TheyÃ¢ÂÂre known for presenting works that arenÃ¢ÂÂt often seen in the Midwest. 5811 S. Ellis Ave.,budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/The_Renaissance_Society_4824ccbe-ba12-4335-aa8e-e3ca001cc90e.jpg,the offers exhibitions and programs that provide insight into and education on the wonders of art history they re known for presenting works that aren t often seen in the midwest  s ellis ave ,offer exhibition program provide insight education wonder art history known presenting work often seen midwest elli ave,choosechicago
Smart Museum,"The name says it all. The  features works from some the worldÃ¢ÂÂs all-time brightest minds like Goya, Frank Lloyd Wright, Degas, Rodin, Matisse, Picasso, Rivera, and Ansel Adams. 5550 S. Greenwood Ave.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/SMART_e1cd3849-971a-4f7c-94a3-82219ab362f1.jpg,the name says it all the features works from some the world s all time brightest minds like goya frank lloyd wright degas rodin matisse picasso rivera and ansel adams  s greenwood ave ,name say feature work world time brightest mind like goya frank lloyd wright degas rodin matisse picasso rivera ansel adam greenwood ave,choosechicago
Chinese American Museum,"Located in historic Chinatown, the ever-changing exhibits at the  seek to showcase the culture, history, and shared experiences of Chinese immigrants in Chicago and the MidwestÃÂ  ÃÂ 238 W. 23rd St.",budget,free things to do,,located in historic chinatown the ever changing exhibits at the seek to showcase the culture history and shared experiences of chinese immigrants in chicago and the midwest  w rd st ,located historic chinatown ever changing exhibit seek showcase culture history shared experience chinese immigrant chicago midwest w rd st,choosechicago
Stony Island Arts Bank,"This 1923 bank building was deteriorating for decades, until it was radically restored and transformed into the , a hybrid gallery, library, and community center. They also offer a regular schedule of free live music, DJs, film screenings, exhibitions and events including readings, talks, and performances. 6760 S. Stony Island Ave.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/12/StonyIslandArtsBank_library-900x600.jpg,this  bank building was deteriorating for decades until it was radically restored and transformed into the a hybrid gallery library and community center they also offer a regular schedule of free live music djs film screenings exhibitions and events including readings talks and performances  s stony island ave ,bank building deteriorating decade radically restored transformed hybrid gallery library community center also offer regular schedule free live music dj film screening exhibition event including reading talk performance stony island ave,choosechicago
Adler Planetarium,The  offers a variety of discounted tickets throughout the year. Every Wednesday evening from 4 Ã 10 p.m,budget,free museum day,https://cdn.choosechicago.com/uploads/2019/05/Story_Adler_CH_ChooseChicago_2014_09_25_0301_72df50f1-5e98-4088-a40f-550f96ce8700-1-750x445.jpg,the offers a variety of discounted tickets throughout the year every wednesday evening from 4 Ã 10 p.m,offer variety discounted ticket throughout year every wednesday evening from 4 Ã 10 pm,choosechicago
Field Museum,"The  offers free basic admission, plus discounted passes to explore a ticketed exhibition or enjoy a 3D movie, for Illinois residents on select dates throughout the year. Every Wednesday all year long",budget,free museum day,https://cdn.choosechicago.com/uploads/2021/01/2020_FIELD_Lhewett_062-1-900x600.jpg,the offers free basic admission plus discounted passes to explore a ticketed exhibition or enjoy a d movie for illinois residents on select dates throughout the year every wednesday all year long,offer free basic admission plus discounted pass explore ticketed exhibition enjoy movie illinois resident select date throughout year  every wednesday all year long,choosechicago
Art Institute of Chicago,"The  offers select free admission days for Illinois residents throughout the year. Weekdays (Mondays, Thursdays, and Fridays) Jan. 8 Ã March 22, 2024
Thursday evenings (5 Ã 8 p.m.) June 6 Ã Sept. 26, 2024",budget,free museum day,https://cdn.choosechicago.com/uploads/2021/11/2021_0916_Art_Institute-23-900x600.jpg,"the offers select free admission days for illinois residents throughout the year  weekdays (mondays, thursdays, and fridays) Jan. 8 Ã March 22, 2024","offer select free admission day illinois resident throughout year weekdays (mondays, thursdays, and fridays) Jan. 8 Ã March 22, 2024",choosechicago
